Merchant_name,Merchant_id,Rate_pct
Viettel,12,2
Mobifone,13,3
Vinaphone,14,4
Vietnamobile,15,4
Gmobile,16,4
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































