User_id,First_tran_date,Location,Age,Gender
41654498,2018-05-02,HCMC,33_to_37,MALE
51276281,2019-12-08,Other Cities,unknown,MALE
49152375,2019-12-20,Other Cities,23_to_27,MALE
5971050,2019-08-01,HCMC,28_to_32,MALE
48134464,2019-08-23,Other Cities,18_to_22,FEMALE
56702663,2020-08-08,Other Cities,unknown,MALE
53564527,2020-02-16,Other Cities,unknown,MALE
40659574,2017-12-28,Other Cities,28_to_32,MALE
7571525,2018-04-20,HCMC,33_to_37,MALE
28716109,2019-12-17,Other Cities,33_to_37,FEMALE
52262649,2020-02-28,Other,18_to_22,MALE
50364707,2020-10-30,Other,>37,FEMALE
44955538,2019-12-29,Other Cities,23_to_27,MALE
49656477,2019-09-30,HN,18_to_22,FEMALE
40377991,2019-07-31,HCMC,28_to_32,FEMALE
38339976,2019-12-09,Unknown,unknown,FEMALE
56455857,2020-06-12,Other,28_to_32,MALE
41105181,2018-02-26,Other Cities,unknown,FEMALE
32944662,2020-01-07,HCMC,>37,MALE
51644804,2019-12-23,HCMC,unknown,FEMALE
42849872,2018-08-29,Other Cities,28_to_32,MALE
48141028,2019-07-31,HN,33_to_37,MALE
16919520,2019-07-27,Other Cities,>37,MALE
53902640,2020-10-31,HN,unknown,MALE
44755286,2019-01-01,HCMC,23_to_27,MALE
39573887,2017-11-11,Unknown,23_to_27,MALE
50511957,2019-12-10,HCMC,33_to_37,FEMALE
43953676,2018-10-27,HN,>37,FEMALE
36641091,2020-01-29,Other Cities,28_to_32,MALE
46719926,2020-07-13,Other,unknown,MALE
34898020,2020-08-18,Other Cities,28_to_32,MALE
54869084,2020-04-06,HCMC,33_to_37,MALE
46222540,2019-03-08,HCMC,unknown,MALE
33064659,2018-08-22,HCMC,23_to_27,FEMALE
45465092,2019-03-18,HCMC,33_to_37,MALE
46148297,2019-03-02,HN,18_to_22,MALE
47511343,2019-06-05,HN,33_to_37,MALE
27064260,2017-04-14,Other,23_to_27,MALE
